0,[]
1,[-0.]
2,[-0.70710678  0.70710678]
3,[-8.66025404e-01  2.81729083e-17  8.66025404e-01]
4,[-0.92387953 -0.38268343  0.38268343  0.92387953]
5,"[-9.51056516e-01 -5.87785252e-01  1.46034345e-17  5.87785252e-01
  9.51056516e-01]"
6,[-0.96592583 -0.70710678 -0.25881905  0.25881905  0.70710678  0.96592583]
7,"[-9.74927912e-01 -7.81831482e-01 -4.33883739e-01 -1.20123122e-16
  4.33883739e-01  7.81831482e-01  9.74927912e-01]"
8,"[-0.98078528 -0.83146961 -0.55557023 -0.19509032  0.19509032  0.55557023
  0.83146961  0.98078528]"
9,"[-9.84807753e-01 -8.66025404e-01 -6.42787610e-01 -3.42020143e-01
 -5.55448436e-17  3.42020143e-01  6.42787610e-01  8.66025404e-01
  9.84807753e-01]"
10,"[-0.98768834 -0.89100652 -0.70710678 -0.4539905  -0.15643447  0.15643447
  0.4539905   0.70710678  0.89100652  0.98768834]"
11,"[-9.89821442e-01 -9.09631995e-01 -7.55749574e-01 -5.40640817e-01
 -2.81732557e-01 -2.69247564e-16  2.81732557e-01  5.40640817e-01
  7.55749574e-01  9.09631995e-01  9.89821442e-01]"
12,"[-0.99144486 -0.92387953 -0.79335334 -0.60876143 -0.38268343 -0.13052619
  0.13052619  0.38268343  0.60876143  0.79335334  0.92387953  0.99144486]"
13,"[-9.92708874e-01 -9.35016243e-01 -8.22983866e-01 -6.63122658e-01
 -4.64723172e-01 -2.39315664e-01  1.15234688e-16  2.39315664e-01
  4.64723172e-01  6.63122658e-01  8.22983866e-01  9.35016243e-01
  9.92708874e-01]"
14,"[-0.99371221 -0.94388333 -0.8467242  -0.70710678 -0.53203208 -0.33027906
 -0.11196448  0.11196448  0.33027906  0.53203208  0.70710678  0.8467242
  0.94388333  0.99371221]"
15,"[-9.94521895e-01 -9.51056516e-01 -8.66025404e-01 -7.43144825e-01
 -5.87785252e-01 -4.06736643e-01 -2.07911691e-01  9.06523206e-17
  2.07911691e-01  4.06736643e-01  5.87785252e-01  7.43144825e-01
  8.66025404e-01  9.51056516e-01  9.94521895e-01]"
16,"[-0.99518473 -0.95694034 -0.88192126 -0.77301045 -0.63439328 -0.47139674
 -0.29028468 -0.09801714  0.09801714  0.29028468  0.47139674  0.63439328
  0.77301045  0.88192126  0.95694034  0.99518473]"
17,"[-9.95734176e-01 -9.61825643e-01 -8.95163291e-01 -7.98017227e-01
 -6.73695644e-01 -5.26432163e-01 -3.61241666e-01 -1.83749518e-01
  7.73967050e-17  1.83749518e-01  3.61241666e-01  5.26432163e-01
  6.73695644e-01  7.98017227e-01  8.95163291e-01  9.61825643e-01
  9.95734176e-01]"
18,"[-0.9961947  -0.96592583 -0.90630779 -0.81915204 -0.70710678 -0.57357644
 -0.42261826 -0.25881905 -0.08715574  0.08715574  0.25881905  0.42261826
  0.57357644  0.70710678  0.81915204  0.90630779  0.96592583  0.9961947 ]"
19,"[-9.96584493e-01 -9.69400266e-01 -9.15773327e-01 -8.37166478e-01
 -7.35723911e-01 -6.14212713e-01 -4.75947393e-01 -3.24699469e-01
 -1.64594590e-01  3.03264760e-16  1.64594590e-01  3.24699469e-01
  4.75947393e-01  6.14212713e-01  7.35723911e-01  8.37166478e-01
  9.15773327e-01  9.69400266e-01  9.96584493e-01]"
