0,[]
1,[-0.]
2,[-0.57735027  0.57735027]
3,[-7.74596669e-01 -8.32938319e-17  7.74596669e-01]
4,[-0.86113631 -0.33998104  0.33998104  0.86113631]
5,"[-9.06179846e-01 -5.38469310e-01  7.47000758e-17  5.38469310e-01
  9.06179846e-01]"
6,[-0.93246951 -0.66120939 -0.23861919  0.23861919  0.66120939  0.93246951]
7,"[-9.49107912e-01 -7.41531186e-01 -4.05845151e-01 -8.37844394e-17
  4.05845151e-01  7.41531186e-01  9.49107912e-01]"
8,"[-0.96028986 -0.79666648 -0.52553241 -0.18343464  0.18343464  0.52553241
  0.79666648  0.96028986]"
9,"[-9.68160240e-01 -8.36031107e-01 -6.13371433e-01 -3.24253423e-01
  2.05628719e-17  3.24253423e-01  6.13371433e-01  8.36031107e-01
  9.68160240e-01]"
10,"[-0.97390653 -0.86506337 -0.67940957 -0.43339539 -0.14887434  0.14887434
  0.43339539  0.67940957  0.86506337  0.97390653]"
11,"[-9.78228658e-01 -8.87062600e-01 -7.30152006e-01 -5.19096129e-01
 -2.69543156e-01  1.22322358e-16  2.69543156e-01  5.19096129e-01
  7.30152006e-01  8.87062600e-01  9.78228658e-01]"
12,"[-0.98156063 -0.90411726 -0.76990267 -0.58731795 -0.3678315  -0.12523341
  0.12523341  0.3678315   0.58731795  0.76990267  0.90411726  0.98156063]"
13,"[-9.84183055e-01 -9.17598399e-01 -8.01578091e-01 -6.42349339e-01
 -4.48492751e-01 -2.30458316e-01 -7.32333258e-17  2.30458316e-01
  4.48492751e-01  6.42349339e-01  8.01578091e-01  9.17598399e-01
  9.84183055e-01]"
14,"[-0.98628381 -0.92843488 -0.82720132 -0.6872929  -0.51524864 -0.31911237
 -0.10805495  0.10805495  0.31911237  0.51524864  0.6872929   0.82720132
  0.92843488  0.98628381]"
15,"[-9.87992518e-01 -9.37273392e-01 -8.48206583e-01 -7.24417731e-01
 -5.70972173e-01 -3.94151347e-01 -2.01194094e-01 -3.96401197e-17
  2.01194094e-01  3.94151347e-01  5.70972173e-01  7.24417731e-01
  8.48206583e-01  9.37273392e-01  9.87992518e-01]"
16,"[-0.98940093 -0.94457502 -0.8656312  -0.75540441 -0.61787624 -0.45801678
 -0.28160355 -0.09501251  0.09501251  0.28160355  0.45801678  0.61787624
  0.75540441  0.8656312   0.94457502  0.98940093]"
17,"[-9.90575475e-01 -9.50675522e-01 -8.80239154e-01 -7.81514004e-01
 -6.57671159e-01 -5.12690537e-01 -3.51231763e-01 -1.78484181e-01
  8.23634527e-17  1.78484181e-01  3.51231763e-01  5.12690537e-01
  6.57671159e-01  7.81514004e-01  8.80239154e-01  9.50675522e-01
  9.90575475e-01]"
18,"[-0.99156517 -0.95582395 -0.89260247 -0.80370496 -0.69168704 -0.55977083
 -0.41175116 -0.25188623 -0.08477501  0.08477501  0.25188623  0.41175116
  0.55977083  0.69168704  0.80370496  0.89260247  0.95582395  0.99156517]"
19,"[-9.92406844e-01 -9.60208152e-01 -9.03155904e-01 -8.22714657e-01
 -7.20966177e-01 -6.00545305e-01 -4.64570741e-01 -3.16564100e-01
 -1.60358646e-01 -2.69250610e-17  1.60358646e-01  3.16564100e-01
  4.64570741e-01  6.00545305e-01  7.20966177e-01  8.22714657e-01
  9.03155904e-01  9.60208152e-01  9.92406844e-01]"
